temps,interieur_recipient,interieur_serre,ambiance,contre_recipient
269,26.6553001,28.158123,26.2796173,27.587944
270,26.663559,28.161562,26.3021336,27.6239338
271,26.683794,28.183836,26.3794441,27.6197662
272,26.6844654,28.1920834,26.3792744,27.6129684
273,26.6840172,28.1804543,26.4113102,27.6120186
274,26.6827297,28.1774349,26.4428959,27.6123543
275,26.6897011,28.1870499,26.4441566,27.6237106
276,26.6832066,28.167593,26.4698887,27.6149826
277,26.6907921,28.1797256,26.4944725,27.6111794
278,26.680603,28.1809845,26.5090885,27.61199
279,26.6775227,28.1740246,26.5100136,27.6223946
280,26.6748085,28.1826057,26.5356045,27.611208
281,26.6680603,28.1882534,26.5777969,27.6199627
282,26.6718121,28.1861286,26.5896397,27.6154022
283,26.6700211,28.1847591,26.6039467,27.6138649
284,26.6633015,28.1965275,26.5559025,27.608633
285,26.6706085,28.1994076,26.5349312,27.613081
286,26.6729317,28.2002735,26.4772816,27.607626
287,26.6786156,28.2041321,26.4297905,27.6121578
288,26.6708317,28.195158,26.4296799,27.6421089
289,26.6974697,28.2364731,26.4838982,27.6279831
290,26.6903038,28.2350769,26.518898,27.633522
291,26.689743,28.2144451,26.5701065,27.631815
292,26.7008858,28.1960239,26.5984402,27.6383324
293,26.6879807,28.1970577,26.5780869,27.6486816
294,26.6885967,28.191803,26.5401211,27.6432266
295,26.6955948,28.1895657,26.5281658,27.6282063
296,26.6934662,28.1848965,26.554512,27.6290188
297,26.6851807,28.1861267,26.5536156,27.6301365
298,26.6842575,28.188364,26.5816422,27.6283188
299,26.6821575,28.1909351,26.5668316,27.626976
300,26.6903324,28.1969738,26.564703,27.6178856
301,26.6810379,28.1962757,26.5665245,27.616375
302,26.6733112,28.2008038,26.563612,27.6320114
303,26.6821575,28.2155647,26.5401211,27.6226406
304,26.6794128,28.2083511,26.5596352,27.6174088
305,26.6684093,28.2081547,26.6128578,27.618639
306,26.6888733,28.2196445,26.6807194,27.6480026
307,26.7233925,28.2335453,26.7539406,27.6367016
308,26.7061768,28.2245445,26.7416515,27.6411762
309,26.7074089,28.2311134,26.7525959,27.6415958
310,26.7036572,28.2226982,26.7503853,27.634409
311,26.7060375,28.226696,26.7489567,27.6387444
312,26.6968822,28.2390518,26.7552834,27.6332893
313,26.7029018,28.220602,26.8175659,27.6372051
314,26.7016983,28.2153187,26.873045,27.636198
315,26.6962662,28.2238178,26.9239006,27.6450081
316,26.7089481,28.2216644,26.9360199,27.6275272
317,26.6994305,28.2241249,26.956955,27.6273594
318,26.7008858,28.2282066,27.0020428,27.6317787
319,26.6949787,28.2154579,27.0230598,27.6240311
320,26.692627,28.2284851,27.0925751,27.6348553
321,26.691843,28.2311687,27.1147938,27.6226044
322,26.6882877,28.2390518,27.0808201,27.6191063
323,26.6881466,28.2410641,27.160265,27.6152191
324,26.6861305,28.2382946,27.1600952,27.6464424
325,26.7169056,28.2781391,27.1477928,27.6592541
326,26.723568,28.2781391,27.1066856,27.6458282
327,26.7203217,28.2597733,27.0796814,27.6534634
328,26.7158146,28.2548542,27.0589733,27.6532955
329,26.7172413,28.2570057,27.0994663,27.6421356
330,26.7159824,28.2561398,27.131115,27.6495476
331,26.7098789,28.2501297,27.1609745,27.6433659
332,26.7147789,28.2379417,27.1654224,27.6393948
333,26.7102985,28.2282696,27.160078,27.6421356
334,26.7135181,28.2386971,27.1409378,27.6400948
335,26.7196217,28.2095127,27.1172371,27.6388912
336,26.711895,28.202383,27.1298008,27.6358433
337,26.7063236,28.1952839,27.1199512,27.6348648
338,26.7108879,28.1952,27.1312828,27.634304
339,26.7061558,28.1937466,27.1804218,27.6466675
340,26.7086201,28.1977711,27.2359638,27.6311989
341,26.7125931,28.1870632,27.271862,27.6245708
342,26.7032166,28.1858063,27.245224,27.6585121
343,26.7313366,28.2220497,27.1884651,27.6526661
344,26.7355919,28.2130775,27.1620235,27.6519127
345,26.7383919,28.2223854,27.1508026,27.6330032
346,26.7395115,28.2155933,27.1227913,27.645731
347,26.733408,28.2229176,27.1009636,27.6478291
348,26.7332954,28.2194233,27.0816269,27.6387653
349,26.735508,28.2280045,27.0526619,27.6424026
350,26.728426,28.2246227,27.0547047,27.6455345
351,26.7244225,28.2365303,27.0404892,27.6392689
352,26.7363205,28.2300453,27.0475693,27.6419544
353,26.723526,28.2356911,26.9894142,27.6364441
354,26.732708,28.247879,26.9296322,27.6326122
355,26.7338009,28.2407513,26.8847923,27.6361084
356,26.7151852,28.2309685,26.8351116,27.6404991
357,26.7307491,28.2347126,26.813221,27.6377583
358,26.7282009,28.2450275,26.8076229,27.6362209
359,26.7228813,28.2517376,26.816412,27.6311855
360,26.7222939,28.2515144,26.8032284,27.6641235
361,26.7515011,28.2907829,26.7787399,27.6608219
362,26.7532654,28.2938843,26.7061806,27.6513119
363,26.7542725,28.3053169,26.6490421,27.6495514
364,26.7533207,28.2972946,26.665699,27.6482639
365,26.7501583,28.3058491,26.6959057,27.6445732
366,26.7468262,28.313982,26.6958218,27.6444321
367,26.7442226,28.3051777,26.7095127,27.6355667
368,26.7470512,28.3139553,26.7530422,27.6197071
369,26.7454548,28.2956734,26.742321,27.6129093
370,26.7473297,28.2932701,26.7735615,27.5951214
371,26.7431316,28.2959805,26.8033733,27.5919037
372,26.7416191,28.2909775,26.8216782,27.5837917
373,26.7414246,28.3003979,26.8918228,27.5849667
374,26.7486744,28.2930737,26.896944,27.5879879
375,26.7390442,28.2844086,26.8942585,27.5832882
376,26.7407513,28.2904472,26.870018,27.5880146
377,26.743187,28.2898865,26.8316441,27.5917625
378,26.7354317,28.2894955,26.8114052,27.6186295
379,26.7797604,28.3122349,26.8082008,27.6228542
380,26.7787533,28.3199234,26.7994404,27.6386013
381,26.7680035,28.3236408,26.8011189,27.6320553
382,26.7655125,28.3122082,26.7534752,27.6294556
383,26.7689552,28.3055553,26.6550484,27.6295662
384,26.7693748,28.2820473,26.630579,27.6437473
385,26.78228,28.2600193,26.5866241,27.6331196
386,26.7596626,28.248476,26.5757046,27.6250916
387,26.7683678,28.2331276,26.5551834,27.6289787
388,26.7625446,28.2190666,26.5285568,27.6347408
389,26.7677517,28.1966763,26.5095158,27.6292038
390,26.7589054,28.1936569,26.4945374,27.6278324
391,26.7609768,28.178896,26.478857,27.6212883
392,26.7680035,28.1711807,26.4910088,27.6221542
393,26.7584572,28.1500168,26.5350513,27.6195526
394,26.7579269,28.1420784,26.5796242,27.6254826
395,26.7513752,28.147892,26.5894794,27.6159725
396,26.7569447,28.1368217,26.5826473,27.6512642
397,26.7747421,28.1828022,26.6094074,27.6588726
398,26.7842884,28.1747246,26.5916843,27.6452789
399,26.7780743,28.1805668,26.5946522,27.6528301
400,26.778017,28.1933422,26.6019306,27.6369991
401,26.7810135,28.1906013,26.6531372,27.651823
402,26.7781849,28.210701,26.6528015,27.6439648
403,26.7751617,28.1968079,26.6643906,27.6573048
404,26.7784939,28.2070408,26.6697941,27.6306515
405,26.7716637,28.2084103,26.7371769,27.6380901
406,26.7698708,28.2180271,26.7588158,27.6344833
407,26.7605228,28.2145309,26.7633781,27.639349
408,26.7595425,28.226469,26.7380447,27.6382313
409,26.7686958,28.2278099,26.7571926,27.6281891
410,26.7637978,28.2267208,26.7967453,27.6308193
411,26.7675476,28.2238407,26.8109932,27.6368599
412,26.7606068,28.2133026,26.8135128,27.6295872
413,26.7633209,28.2161808,26.754364,27.6259232
414,26.7647762,28.2148666,26.7164326,27.6566124
415,26.7945766,28.2375889,26.6824188,27.6617584
416,26.7928677,28.237896,26.6197643,27.6483326
417,26.7876053,28.2490501,26.5804558,27.6406689
418,26.7844143,28.2484627,26.4976635,27.6469345
419,26.7742252,28.2375603,26.3611565,27.6475773
420,26.7886124,28.2466164,26.3230152,27.6482773
421,26.7861214,28.2395725,26.3602047,27.644474
422,26.7826786,28.2476234,26.3679047,27.6368656
423,26.7801037,28.2484894,26.3733368,27.6414242
424,26.7734127,28.2361336,26.3162651,27.6390743
425,26.7792072,28.2437649,26.3079758,27.6344318
426,26.7776413,28.2293701,26.2933025,27.6305733
427,26.7811947,28.2256508,26.2315769,27.6282234
428,26.7731895,28.2230511,26.2545414,27.6234684
429,26.7707253,28.2303753,26.211607,27.6238594
430,26.7659111,28.2194176,26.1571884,27.6221809
431,26.764595,28.2108345,26.1434345,27.6190205
432,26.7671127,28.2041531,26.1542168,27.6457806
433,26.7911186,28.2291985,26.1779804,27.6541729
434,26.7990112,28.2371941,26.2131577,27.640831
435,26.7981434,28.2378635,26.2791424,27.6352634
436,26.7994041,28.2266827,26.3798161,27.6457539
437,26.7918453,28.2375011,26.4747982,27.6505356
438,26.7871704,28.2420292,26.4667339,27.641613
439,26.781601,28.2378368,26.484766,27.6422577
440,26.7846241,28.2548046,26.4727268,27.6237125
441,26.7844009,28.251421,26.5017071,27.6358509
442,26.7784653,28.2606735,26.5012856,27.6210556
443,26.7722225,28.2650356,26.5720673,27.6273212
444,26.7735386,28.2667675,26.5429497,27.6254749
445,26.7675495,28.2670193,26.4770107,27.6205235
446,26.7832241,28.2803249,26.4310322,27.6223145
447,26.7848206,28.2884312,26.445509,27.6333618
448,26.771719,28.3016529,26.4322643,27.6211681
449,26.7676888,28.2880955,26.411375,27.6230698
450,26.7682476,28.3019886,26.3628178,27.6396198
451,26.8005943,28.3314667,26.3972244,27.6497726
452,26.8014908,28.3317738,26.4524155,27.6502762
453,26.796648,28.3272743,26.4382763,27.6421642
454,26.7875214,28.3317184,26.4230709,27.6396751
455,26.7876053,28.3291473,26.4381905,27.6469479
456,26.7944355,28.3344574,26.427103,27.6497726
457,26.7911339,28.3391533,26.398428,27.6454086
458,26.7791519,28.3297329,26.4196262,27.6475067
459,26.7839108,28.3300686,26.4300423,27.6390324
